v_Akkermansia_,v_Barnesiella,v_Blautia,v_Clindamycin_,v_Clostridium_difficile,v_Coprobacillus,v_Enterobacteriaceae,v_Enterococcus,v_Lachnospiraceae,v_Lachnospiraceae_other_,v_Mollicutes,v_Other,time,trajectory,isattractor
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,0,0,0,0,1,1,1,0,0,1,0,0
0,1,1,0,0,0,0,1,1,1,0,1,2,0,1
0,1,1,0,0,0,0,1,1,1,0,1,3,0,1
0,1,1,0,0,0,0,1,1,1,0,1,4,0,1
0,1,1,0,0,0,0,1,1,1,0,1,5,0,1
1,0,0,1,0,1,1,1,0,1,0,1,0,1,0
1,0,1,1,0,1,1,1,0,0,0,0,1,1,1
1,0,1,1,0,1,1,1,0,0,0,0,2,1,1
1,0,1,1,0,1,1,1,0,0,0,0,3,1,1
1,0,1,1,0,1,1,1,0,0,0,0,4,1,1
1,0,1,1,0,1,1,1,0,0,0,0,5,1,1
0,1,1,0,1,0,0,0,0,1,1,1,0,2,0
0,1,1,0,0,0,0,1,1,1,1,1,1,2,1
0,1,1,0,0,0,0,1,1,1,1,1,2,2,1
0,1,1,0,0,0,0,1,1,1,1,1,3,2,1
0,1,1,0,0,0,0,1,1,1,1,1,4,2,1
0,1,1,0,0,0,0,1,1,1,1,1,5,2,1
1,0,1,0,0,1,1,1,1,0,0,1,0,3,0
1,1,1,0,0,1,1,1,1,1,0,1,1,3,1
1,1,1,0,0,1,1,1,1,1,0,1,2,3,1
1,1,1,0,0,1,1,1,1,1,0,1,3,3,1
1,1,1,0,0,1,1,1,1,1,0,1,4,3,1
1,1,1,0,0,1,1,1,1,1,0,1,5,3,1
0,1,1,0,1,0,1,0,0,1,0,0,0,4,0
0,1,1,0,0,0,1,1,1,1,0,0,1,4,0
0,1,1,0,0,0,1,1,1,1,0,1,2,4,1
0,1,1,0,0,0,1,1,1,1,0,1,3,4,1
0,1,1,0,0,0,1,1,1,1,0,1,4,4,1
0,1,1,0,0,0,1,1,1,1,0,1,5,4,1
0,0,0,1,0,1,1,0,0,1,1,1,0,5,0
1,0,0,1,0,1,1,0,0,0,1,0,1,5,0
1,0,1,1,0,1,1,1,0,0,1,0,2,5,1
1,0,1,1,0,1,1,1,0,0,1,0,3,5,1
1,0,1,1,0,1,1,1,0,0,1,0,4,5,1
1,0,1,1,0,1,1,1,0,0,1,0,5,5,1
0,1,0,0,1,1,0,0,1,0,1,1,0,6,0
1,1,1,0,0,1,0,0,1,0,1,1,1,6,0
1,1,1,0,0,1,0,1,1,1,1,1,2,6,1
1,1,1,0,0,1,0,1,1,1,1,1,3,6,1
1,1,1,0,0,1,0,1,1,1,1,1,4,6,1
1,1,1,0,0,1,0,1,1,1,1,1,5,6,1
0,0,1,0,1,0,1,1,0,0,1,0,0,7,1
0,0,1,0,1,0,1,1,0,0,1,0,1,7,1
0,0,1,0,1,0,1,1,0,0,1,0,2,7,1
0,0,1,0,1,0,1,1,0,0,1,0,3,7,1
0,0,1,0,1,0,1,1,0,0,1,0,4,7,1
0,0,1,0,1,0,1,1,0,0,1,0,5,7,1
1,1,1,1,1,0,0,1,0,0,0,1,0,8,0
0,0,1,1,1,0,0,1,0,0,0,0,1,8,1
0,0,1,1,1,0,0,1,0,0,0,0,2,8,1
0,0,1,1,1,0,0,1,0,0,0,0,3,8,1
0,0,1,1,1,0,0,1,0,0,0,0,4,8,1
0,0,1,1,1,0,0,1,0,0,0,0,5,8,1
1,1,1,0,1,0,1,1,0,1,1,1,0,9,0
0,1,1,0,0,0,1,1,1,1,1,1,1,9,1
0,1,1,0,0,0,1,1,1,1,1,1,2,9,1
0,1,1,0,0,0,1,1,1,1,1,1,3,9,1
0,1,1,0,0,0,1,1,1,1,1,1,4,9,1
0,1,1,0,0,0,1,1,1,1,1,1,5,9,1
1,0,1,0,0,1,0,0,0,1,1,0,0,10,0
1,1,1,0,0,1,0,0,1,1,1,1,1,10,0
1,1,1,0,0,1,0,1,1,1,1,1,2,10,1
1,1,1,0,0,1,0,1,1,1,1,1,3,10,1
1,1,1,0,0,1,0,1,1,1,1,1,4,10,1
1,1,1,0,0,1,0,1,1,1,1,1,5,10,1
1,1,0,0,0,0,0,1,0,1,0,0,0,11,0
0,1,1,0,0,0,0,1,1,1,0,0,1,11,0
0,1,1,0,0,0,0,1,1,1,0,1,2,11,1
0,1,1,0,0,0,0,1,1,1,0,1,3,11,1
0,1,1,0,0,0,0,1,1,1,0,1,4,11,1
0,1,1,0,0,0,0,1,1,1,0,1,5,11,1
0,1,1,0,1,0,0,1,0,1,0,0,0,12,0
0,1,1,0,0,0,0,1,1,1,0,1,1,12,1
0,1,1,0,0,0,0,1,1,1,0,1,2,12,1
0,1,1,0,0,0,0,1,1,1,0,1,3,12,1
0,1,1,0,0,0,0,1,1,1,0,1,4,12,1
0,1,1,0,0,0,0,1,1,1,0,1,5,12,1
0,0,1,0,1,0,0,1,1,1,1,0,0,13,0
0,1,1,0,0,0,0,1,1,1,1,1,1,13,1
0,1,1,0,0,0,0,1,1,1,1,1,2,13,1
0,1,1,0,0,0,0,1,1,1,1,1,3,13,1
0,1,1,0,0,0,0,1,1,1,1,1,4,13,1
0,1,1,0,0,0,0,1,1,1,1,1,5,13,1
1,1,1,1,0,0,1,1,0,1,1,0,0,14,0
0,0,1,1,0,0,1,1,0,0,1,0,1,14,1
0,0,1,1,0,0,1,1,0,0,1,0,2,14,1
0,0,1,1,0,0,1,1,0,0,1,0,3,14,1
0,0,1,1,0,0,1,1,0,0,1,0,4,14,1
0,0,1,1,0,0,1,1,0,0,1,0,5,14,1
0,1,0,0,0,0,0,0,1,0,1,1,0,15,0
0,1,1,0,0,0,0,1,1,1,1,1,1,15,1
0,1,1,0,0,0,0,1,1,1,1,1,2,15,1
0,1,1,0,0,0,0,1,1,1,1,1,3,15,1
0,1,1,0,0,0,0,1,1,1,1,1,4,15,1
0,1,1,0,0,0,0,1,1,1,1,1,5,15,1
1,0,1,1,1,1,1,0,1,1,1,0,0,16,0
1,0,1,1,1,1,1,1,0,0,1,0,1,16,1
1,0,1,1,1,1,1,1,0,0,1,0,2,16,1
1,0,1,1,1,1,1,1,0,0,1,0,3,16,1
1,0,1,1,1,1,1,1,0,0,1,0,4,16,1
1,0,1,1,1,1,1,1,0,0,1,0,5,16,1
0,1,0,0,0,1,1,1,1,1,0,0,0,17,0
1,1,1,0,0,1,1,1,1,1,0,1,1,17,1
1,1,1,0,0,1,1,1,1,1,0,1,2,17,1
1,1,1,0,0,1,1,1,1,1,0,1,3,17,1
1,1,1,0,0,1,1,1,1,1,0,1,4,17,1
1,1,1,0,0,1,1,1,1,1,0,1,5,17,1
1,0,1,1,1,0,1,0,0,1,0,0,0,18,0
0,0,1,1,1,0,1,1,0,0,0,0,1,18,1
0,0,1,1,1,0,1,1,0,0,0,0,2,18,1
0,0,1,1,1,0,1,1,0,0,0,0,3,18,1
0,0,1,1,1,0,1,1,0,0,0,0,4,18,1
0,0,1,1,1,0,1,1,0,0,0,0,5,18,1
1,1,0,1,0,0,1,0,0,0,0,0,0,19,0
0,0,0,1,0,0,1,1,0,0,0,0,1,19,0
0,0,1,1,0,0,1,1,0,0,0,0,2,19,1
0,0,1,1,0,0,1,1,0,0,0,0,3,19,1
0,0,1,1,0,0,1,1,0,0,0,0,4,19,1
0,0,1,1,0,0,1,1,0,0,0,0,5,19,1
0,0,1,1,1,0,0,0,0,1,0,0,0,20,0
0,0,1,1,1,0,0,1,0,0,0,0,1,20,1
